,Type,NormAG-VarBCDE,NormAG-VarBCE,NormDF-VarABCEG,NormDF-VarABCG,NormDF-VarABC,NormD-VarABC,NormF-VarABC,NormAG,NormDF,NormD,NormF
XC3,Est-SCC,7.435573436,3.253059211,-0.175302007,0.206168122,3.594334532,3.594334532,0.246362931,2.345047906,-0.326961037,-1.837466319,1.510505282
XC2,Est-SCC,5.892886743,2.036720296,-2.524397859,-0.268152759,3.137800361,3.137800361,0.887012276,1.483350025,-2.494844758,-2.372816422,-0.122028336
XC1,Est-SCC,3.110679636,0.295958426,-4.524606076,-2.294139833,0.71754705,0.71754705,-0.485262214,0.977148393,-2.472336371,-1.837572818,-0.634763553
XC5,Est-SCC,3.757764843,1.70065821,2.568678342,1.74131226,1.813356071,1.813356071,0.801248317,2.641000019,2.179894524,0.583893385,1.596001139
XC6,Est-SCC,0.072888483,0.553292509,2.386233392,2.241867334,1.018308964,1.018308964,1.63248482,-0.075098532,0.196435132,0.405305494,-0.208870362
XC7,Est-SCC,4.046568905,2.586543834,2.842456886,1.526354043,1.323250296,1.323250296,1.473544737,2.260704997,1.451065411,0.800679926,0.650385485
XC8,Est-SCC,-0.245025162,0.444915026,0.652038657,-0.375361536,-1.257614149,-1.257614149,0.299767446,0.451401905,0.72530259,1.141342093,-0.416039503
XC9,Est-SCC,5.87508784,3.233209462,2.286957377,1.459644295,2.38777387,2.38777387,1.477766804,2.983219698,1.592689705,0.34134132,1.251348385
XC10,Est-SCC,-1.722734534,-1.24720093,-0.309027811,0.461269731,-0.084892176,-0.084892176,0.069258519,-0.545285612,-0.293654711,-0.069752008,-0.223902703
XC11,Est-SCC,0.081560206,-0.19813136,0.497063913,0.023822118,-0.467261281,-0.467261281,-0.180289756,1.370238363,1.89412207,1.090546797,0.803575272
XC12,Est-SCC,0.192492476,-0.819315962,0.03222664,-0.343878798,-0.640298901,-0.640298901,-0.899001296,2.041304252,2.317694022,1.029495814,1.288198209
XC13,Est-SCC,3.955367828,2.358607899,1.385546248,0.640088092,0.89216901,0.89216901,1.361068825,2.634612703,1.606805732,1.037852774,0.568952958
XC16,Est-SCC,1.088207016,0.609683732,1.27623815,0.517501061,-0.039424199,-0.039424199,0.407871903,1.545389633,1.686436594,1.066866348,0.619570246
XC17,Est-SCC,-1.532121384,-0.292732244,-1.008347466,1.570327552,1.586699633,1.586699633,2.269570692,-3.225059755,-4.654212288,-1.985670615,-2.668541673
XC18,Est-SCC,-1.435235202,-0.078801026,1.474491456,0.769302223,-0.709112893,-0.709112893,0.694424858,-0.093175679,1.122979243,1.263258497,-0.140279254
COSM90,Est-COS,-0.278289329,-0.063082181,-1.118221651,-1.621986245,-1.027405276,-1.027405276,-1.161427745,-0.485556238,-0.406675711,-0.27034909,-0.136326621
COSM93,Est-COS,-0.632906298,-0.855041054,-1.859141492,-1.209355183,-0.646165058,-0.646165058,-0.76844487,0.265445943,0.208902186,0.043311187,0.165590999
COSM96,Est-COS,0.296572559,-0.376520418,-1.233759346,-2.246089398,-1.535812135,-1.535812135,-2.099127734,1.327090885,1.871311415,0.653997908,1.217313507
COS52,Est-COS,2.058569125,1.558183205,0.290428707,0.25220425,0.891816215,0.891816215,0.880346784,-0.070625918,-1.130554244,-0.571011838,-0.559542406
COS59,Est-COS,-4.634784492,-1.860532421,1.643200896,0.746651617,-1.012585917,-1.012585917,-0.997844166,-2.145626662,1.242509069,0.62862541,0.613883659
COS77,Est-COS,-1.244066919,-0.517380154,-0.854629029,-1.198257769,-1.235588326,-1.235588326,-0.823678337,-0.41274567,0.215972201,0.313941095,-0.097968894
COS47,Est-COS,-4.33280553,-2.708897,-1.87918437,-0.84036217,-1.408401162,-1.408401162,-1.102035808,-1.795808118,-0.650164529,-0.171899587,-0.478264941
COS56,Est-COS,-8.132727965,-4.593345912,-2.995084584,0.86623304,-0.89962362,-0.89962362,1.033828372,-4.274471735,-3.403631355,-0.735089682,-2.668541673
COS61,Est-COS,-1.434177246,-0.090764567,0.963480732,0.025204438,-0.480038987,-0.480038987,-0.523797438,-1.617051059,-0.503518308,-0.27363838,-0.229879929
COS67,Est-COS,-2.097360872,-1.363668331,-1.349129904,-0.706110543,-1.412998218,-1.412998218,-0.013761295,-0.108323831,-0.148499503,0.62536871,-0.773868213
COS69,Est-COS,-3.415462552,-1.61143729,-0.717691933,-1.140402138,-1.691784747,-1.691784747,-1.482764886,-1.970987505,-0.542944346,-0.166962242,-0.375982104
COS70,Est-COS,-5.320354732,-2.838593162,-0.742822445,-1.862685781,-3.172844978,-3.172844978,-2.648297301,-1.625995941,1.186983579,0.855765628,0.331217951
COS72,Est-COS,-0.637209465,0.418809572,1.041083379,0.963431324,0.576518277,0.576518277,0.728070564,-1.820356917,-1.680228046,-0.76433788,-0.915890167
COS73,Est-COS,-1.490067232,-0.541483779,0.714344664,0.026379621,-0.326856794,-0.326856794,-0.876212406,-1.369982602,-0.293442686,-0.421399149,0.127956463
COS74,Est-COS,0.721109815,1.007286406,1.236876533,0.069021034,0.109134539,0.109134539,-0.200682598,-0.689802949,-0.497435579,-0.403626358,-0.093809221
XC19,Test-SCC,1.100585086,0.552993721,-1.067928475,-0.129209462,0.174817471,0.174817471,1.187685801,0.935217977,-0.237615105,0.387626613,-0.625241718
XC22,Test-SCC,0.709658539,0.060765835,-0.888163134,-0.374230611,-0.031713869,-0.031713869,0.232181616,1.001537344,0.441393795,0.352644641,0.088749155
XC23,Test-SCC,2.690517585,1.152974698,0.042928797,-0.012583711,0.706495375,0.706495375,0.378383105,2.018279388,1.28958527,0.4807365,0.80884877
XC4,Test-SCC,-1.388734227,-1.638892816,-1.447961371,-1.523070973,-1.222830302,-1.222830302,-2.014243089,0.613849415,1.518794438,0.363690825,1.155103613
XC14,Test-SCC,2.209500532,0.424321916,-0.012158772,-1.168538555,-0.4742479,-0.4742479,-1.426348523,2.624331094,2.630405578,0.839152478,1.791253101
XC20,Test-SCC,5.069438061,2.743146435,2.594127727,0.293839141,0.562361462,0.562361462,0.174335527,3.869069208,3.4735811,1.542777582,1.930803518
XC15,Test-SCC,7.024487162,3.96502463,2.231491656,1.527362148,2.311952482,2.311952482,2.476304788,3.829744891,1.376212412,0.770282359,0.605930053
XC21,Test-SCC,5.980903888,3.590121744,1.483297122,0.623479896,1.44674058,1.44674058,1.907043834,3.108511199,0.975154857,0.717729056,0.257425801
XC25,Test-SCC,2.88788615,1.838147818,1.653620005,0.045884412,0.196171802,0.196171802,0.080124836,2.037689771,2.091949845,0.987951439,1.103998406
T36SCC,Test-SCC,-2.223039116,-1.921954746,-2.494829106,-1.206554221,-1.023751947,-1.023751947,-0.816482135,-0.396481773,-0.39806462,-0.095397404,-0.302667216
T74SCC,Test-SCC,-2.011269408,-1.937383835,-1.765960765,-0.540088578,-0.045236484,-0.045236484,-1.206363742,-0.832700587,-0.356502769,-0.758815014,0.402312245
T94SCC,Test-SCC,-1.39792165,-0.71960068,1.143187576,1.063177473,-0.136315952,-0.136315952,0.399882641,0.049947075,0.920337496,0.728268044,0.192069452
XC28,Test-SCC,-2.614929627,-3.270542172,-3.173121916,-3.582668757,-2.942724365,-2.942724365,-4.320033405,1.610400729,3.286885408,0.954788184,2.332097224
XC29,Test-SCC,1.284134808,-0.616713502,-0.953637218,-0.827903224,-0.134217584,-0.134217584,-1.184665149,2.616210292,2.481171528,0.715361982,1.765809546
XC26,Test-SCC,-0.928488062,-1.078635105,-2.000698432,-1.183855332,-0.467243232,-0.467243232,-0.978404105,0.210074748,0.631016283,0.059927705,0.571088578
XC27,Test-SCC,-0.893786775,-0.178195491,-0.110564294,-0.947231004,-0.833120352,-0.833120352,-1.128972853,-0.282452733,1.162129603,0.433138551,0.728991051
T133SCC,Test-SCC,0.281509185,-0.006677159,-1.444686868,-0.786626351,-0.45101038,-0.45101038,0.315767387,0.718497619,0.093844784,0.430311275,-0.336466491
COS84,Test-COS,-3.09325937,-1.125151386,1.078607874,-0.329072046,-1.752850735,-1.752850735,-1.109052618,-1.114455876,1.063506099,0.853652108,0.209853991
COS85,Test-COS,0.972468452,0.288993711,-0.504769916,0.142584254,0.40700533,0.40700533,0.671926805,0.66731764,-0.297235675,-0.0161571,-0.281078575
COS88,Test-COS,-1.851785488,-0.668478956,0.391880129,0.333979409,0.001428651,0.001428651,-0.393828917,-1.741383292,-0.720895951,-0.55807676,-0.162819191
COS79,Test-COS,-1.25015996,0.195153882,0.237399867,-1.682312808,-1.761842555,-1.761842555,-1.645029046,-1.233880653,0.306052869,0.211433189,0.09461968
COS55,Test-COS,-1.936608936,-1.492257411,0.004697026,-0.900718264,-1.397220961,-1.397220961,-1.901170005,0.40652966,2.205711412,0.850881184,1.354830228
COS54,Test-COS,1.457793238,2.016500713,1.381889209,-1.960617878,-2.285543654,-2.285543654,-1.001080598,0.883688433,1.600328762,1.442395909,0.157932853
COS94,Test-COS,0.79070388,0.450596098,-0.11669286,-1.656163307,-1.507297001,-1.507297001,-1.237740656,1.291704311,1.633636714,0.951596529,0.682040184
COS63,Test-COS,-0.348986003,-0.362941582,0.835850304,-1.298445442,-1.694194995,-1.694194995,-2.101487775,0.928280793,2.235943208,0.914325214,1.321617994
COS50,Test-COS,2.762363597,3.131263833,2.639549295,0.102792623,0.688025265,0.688025265,0.009274519,-1.346812221,-1.277073225,-0.977911986,-0.29916124
T125HNE,Test-COS,1.976605695,0.375438275,-0.145738356,0.053689549,0.305094152,0.305094152,0.323461578,2.410621119,1.600539972,0.809453699,0.791086273
T86HNE,Test-COS,-0.709578978,-0.425481091,0.471963237,-0.456274777,-0.411400198,-0.411400198,-1.398593682,-0.349956937,0.855475385,-0.06585905,0.921334435
T14HNE,Test-COS,-4.001172433,-2.700374514,-3.402764053,-1.653816914,-1.100997421,-1.100997421,-1.504246867,-2.462428061,-1.920010837,-1.161630141,-0.758380696
COS62,Test-COS,-2.369796062,-0.219913319,0.992774559,-1.155207962,-1.289278675,-1.289278675,-2.233825128,-2.496510181,0.251291575,-0.346627439,0.597919014
COS65,Test-COS,-3.318872611,-1.902459343,-1.043267754,-1.334485229,-2.125947276,-2.125947276,-1.402214771,-0.722719089,0.663655855,0.69369418,-0.030038325
COS66,Test-COS,-2.781644624,-1.081279968,-0.440834189,-2.408639934,-3.217268635,-3.217268635,-2.240457011,-0.081891353,2.260134982,1.618473303,0.641661679
T87OLP,OLP,2.74349871,1.94971161,1.803985869,0.082251175,0.313655265,0.313655265,-0.003427175,0.883214884,0.495938007,0.089427784,0.406510224
T81OLP,OLP,1.693687736,0.791756116,0.290368955,0.63868511,0.732003748,0.732003748,1.046753633,1.013286603,-0.092039919,0.111354983,-0.203394901
T75OLP,OLP,2.839745658,1.832515039,0.447421598,-0.44289953,-0.01763852,-0.01763852,0.516932901,1.083700462,-0.381631736,0.076469843,-0.458101578
T113OLP,OLP,-0.408541065,0.437884698,0.371817297,0.065062028,-0.490279217,-0.490279217,0.686470675,-0.415746277,-0.31539092,0.430679486,-0.746070406
T105OLP,OLP,-2.713574219,0.213388311,5.716064841,1.305918977,-0.63462881,-0.63462881,-2.256209767,-2.193565297,3.088375422,0.733397233,2.35497819
T99OLP,OLP,2.352964567,2.536274756,3.443333948,-0.497675097,-0.871271811,-0.871271811,-1.031137575,1.080124322,2.686734786,1.263434511,1.423300275
T93OLP,OLP,-3.179585001,-0.106440909,0.864080863,-0.905056304,-2.782608968,-2.782608968,0.001974587,-1.353600984,0.654502662,1.719543109,-1.065040446
T97OLP,OLP,-0.251068795,0.112391129,1.161097272,-0.853600923,-1.501064351,-1.501064351,-1.254843637,0.843751658,2.168202452,1.207211583,0.960990869
T72OLP,OLP,1.018135183,1.013105612,0.097373633,-1.431312469,-1.359096946,-1.359096946,-0.587796014,0.797579715,0.813799354,0.792550143,0.021249211
T13Atypia,DYS,-3.252226181,-1.909803094,-2.575459256,-1.991234703,-1.370415671,-1.370415671,-1.946397572,-2.006416646,-0.752005217,-0.663993559,-0.088011658
T129sDys,DYS,-4.945491661,-2.669482746,-0.65398635,-1.921586842,-3.053380203,-3.053380203,-2.805289877,-1.075873814,2.152179877,1.200135102,0.952044775
T71mDys,DYS,-2.228851592,-0.946819674,-0.585328213,-0.767460224,-0.903355239,-0.903355239,-0.993056669,-1.274181081,0.105403106,0.007850838,0.097552268
T109mDys,DYS,0.006971598,0.23664968,-1.751152366,-2.635894311,-1.897597601,-1.897597601,-1.386388977,0.206422999,0.360993536,0.43610108,-0.075107544
